Area of Visit,Port of Entry,Percentage
Kyoto,Hiroshima,0.0271
Kyoto,Sakai Port,0
Kyoto,Kanmon (Shimonoseki) Port,0.0062
Kyoto,Takamatsu,0.0289
Kyoto,Fukuoka,0.4047
Kyoto,Hakata Port,0.079
Kyoto,Saga,0.0024
Kyoto,Izuhara Port,0
Kyoto,Miyazaki,0
Kyoto,Kagoshima,0
Kyoto,Naha,0.0681
Kyoto,Other,0.1923
Osaka,New Chitose,0.1398
Osaka,Hakodate,0.0068
Osaka,Aomori,0
Osaka,Sendai,0.0098
Osaka,Ibaraki,0
Osaka,Haneda,12.7394
Osaka,Narita,17.1189
Osaka,Komatsu,0.0084
Osaka,Toyama,0.0209
Osaka,Mt.Fuji Shizuoka,0.0214
Osaka,Chubu,1.6821
Osaka,Kansai,67.1668
Osaka,Yonago,0.0094
Osaka,Okayama,0.141
Osaka,Hiroshima,0.0347
Osaka,Sakai Port,0
Osaka,Kanmon (Shimonoseki) Port,0.0114
Osaka,Takamatsu,0.0731
Osaka,Fukuoka,0.4694
Osaka,Hakata Port,0.0447
Osaka,Saga,0.0019
Osaka,Izuhara Port,0
Osaka,Miyazaki,0
Osaka,Kagoshima,0.0029
Osaka,Naha,0.0705
Osaka,Other,0.2269
Hyogo,New Chitose,0.1401
Hyogo,Hakodate,0
Hyogo,Aomori,0
Hyogo,Sendai,0
Hyogo,Ibaraki,0
Hyogo,Haneda,10.0467
Hyogo,Narita,13.3987
Hyogo,Komatsu,0.0197
Hyogo,Toyama,0
Hyogo,Mt.Fuji Shizuoka,0.0821
Hyogo,Chubu,1.1886
Hyogo,Kansai,72.1463
Hyogo,Yonago,0.0265
Hyogo,Okayama,0.7103
Hyogo,Hiroshima,0.1139
Hyogo,Sakai Port,0
Hyogo,Kanmon (Shimonoseki) Port,0.0245
Hyogo,Takamatsu,0.4153
Hyogo,Fukuoka,0.9312
Hyogo,Hakata Port,0.2491
Hyogo,Saga,0
Hyogo,Izuhara Port,0
Hyogo,Miyazaki,0
Hyogo,Kagoshima,0
Hyogo,Naha,0.0687
Hyogo,Other,0.4382
Nara,New Chitose,0.1198
Nara,Hakodate,0
Nara,Aomori,0
Nara,Sendai,0.0086
Nara,Ibaraki,0
Nara,Haneda,18.8192
Nara,Narita,25.3428
Nara,Komatsu,0.0112
Nara,Toyama,0.0356
Nara,Mt.Fuji Shizuoka,0.0347
Nara,Chubu,1.7383
Nara,Kansai,52.861
Nara,Yonago,0
Nara,Okayama,0.1143
Nara,Hiroshima,0.028
Nara,Sakai Port,0
Nara,Kanmon (Shimonoseki) Port,0.0205
Nara,Takamatsu,0.0259
Nara,Fukuoka,0.3458
Nara,Hakata Port,0.161
Nara,Saga,0
Nara,Izuhara Port,0
Nara,Miyazaki,0
Nara,Kagoshima,0
Nara,Naha,0.0981
Nara,Other,0.2352
Wakayama,New Chitose,0
Wakayama,Hakodate,0
Wakayama,Aomori,0
Wakayama,Sendai,0
Wakayama,Ibaraki,0
Wakayama,Haneda,15.743
Wakayama,Narita,17.5065
Wakayama,Komatsu,0
Wakayama,Toyama,0
Wakayama,Mt.Fuji Shizuoka,0
Wakayama,Chubu,1.7936
Wakayama,Kansai,63.7091
Wakayama,Yonago,0
Wakayama,Okayama,0.2093
Wakayama,Hiroshima,0.0957
Wakayama,Sakai Port,0
Wakayama,Kanmon (Shimonoseki) Port,0
Wakayama,Takamatsu,0
Wakayama,Fukuoka,0.3001
Wakayama,Hakata Port,0
Wakayama,Saga,0
Wakayama,Izuhara Port,0
Wakayama,Miyazaki,0
Wakayama,Kagoshima,0
Wakayama,Naha,0.0504
Wakayama,Other,0.5924
Tottori,New Chitose,1.3641
Tottori,Hakodate,0
Tottori,Aomori,0
Tottori,Sendai,0
Tottori,Ibaraki,0
Tottori,Haneda,7.8824
Tottori,Narita,8.2325
Tottori,Komatsu,0
Tottori,Toyama,0
Tottori,Mt.Fuji Shizuoka,0
Tottori,Chubu,0.338
Tottori,Kansai,44.2974
Tottori,Yonago,20.0563
Tottori,Okayama,8.8563
Tottori,Hiroshima,3.675
Tottori,Sakai Port,0.3824
Tottori,Kanmon (Shimonoseki) Port,0.0588
Tottori,Takamatsu,3.3165
Tottori,Fukuoka,1.2845
Tottori,Hakata Port,0
Tottori,Saga,0
Tottori,Izuhara Port,0
Tottori,Miyazaki,0
Tottori,Kagoshima,0
Tottori,Naha,0
Tottori,Other,0.2556
Shimane,New Chitose,0
Shimane,Hakodate,0
Shimane,Aomori,0
Shimane,Sendai,0
Shimane,Ibaraki,0
Shimane,Haneda,11.0609
Shimane,Narita,12.8251
Shimane,Komatsu,0
Shimane,Toyama,0
Shimane,Mt.Fuji Shizuoka,0
Shimane,Chubu,1.0107
Shimane,Kansai,31.8217
Shimane,Yonago,14.1826
Shimane,Okayama,12.3236
Shimane,Hiroshima,6.4818
Shimane,Sakai Port,0.1187
Shimane,Kanmon (Shimonoseki) Port,0
Shimane,Takamatsu,3.0526
Shimane,Fukuoka,7.1223
Shimane,Hakata Port,0
Shimane,Saga,0
Shimane,Izuhara Port,0
Shimane,Miyazaki,0
Shimane,Kagoshima,0
Shimane,Naha,0
Shimane,Other,0
Okayama,New Chitose,0.295
Okayama,Hakodate,0
Okayama,Aomori,0
Okayama,Sendai,0.0907
Okayama,Ibaraki,0
Okayama,Haneda,13.1088
Okayama,Narita,15.4197
Okayama,Komatsu,0.112
Okayama,Toyama,0
Okayama,Mt.Fuji Shizuoka,0
Okayama,Chubu,0.6708
Okayama,Kansai,28.6314
Okayama,Yonago,0.0611
Okayama,Okayama,24.5647
Okayama,Hiroshima,2.4629
Okayama,Sakai Port,0
Okayama,Kanmon (Shimonoseki) Port,0.1557
Okayama,Takamatsu,8.5305
Okayama,Fukuoka,4.9114
Okayama,Hakata Port,0.403
Okayama,Saga,0.0815
Okayama,Izuhara Port,0
Okayama,Miyazaki,0
Okayama,Kagoshima,0
Okayama,Naha,0
Okayama,Other,0.5008
Hiroshima,New Chitose,0.1568
Hiroshima,Hakodate,0
Hiroshima,Aomori,0
Hiroshima,Sendai,0.0568
Hiroshima,Ibaraki,0
Hiroshima,Haneda,36.447
Hiroshima,Narita,35.3671
Hiroshima,Komatsu,0.012
Hiroshima,Toyama,0
Hiroshima,Mt.Fuji Shizuoka,0
Hiroshima,Chubu,0.2657
Hiroshima,Kansai,13.0504
Hiroshima,Yonago,0.0379
Hiroshima,Okayama,1.4855
Hiroshima,Hiroshima,5.5887
Hiroshima,Sakai Port,0
Hiroshima,Kanmon (Shimonoseki) Port,0.1416
Hiroshima,Takamatsu,0.6307
Hiroshima,Fukuoka,5.2629
Hiroshima,Hakata Port,0.5391
Hiroshima,Saga,0
Hiroshima,Izuhara Port,0
Hiroshima,Miyazaki,0
Hiroshima,Kagoshima,0.007
Hiroshima,Naha,0.0222
Hiroshima,Other,0.9288
Yamaguchi,New Chitose,0
Yamaguchi,Hakodate,0
Yamaguchi,Aomori,0
Yamaguchi,Sendai,0
Yamaguchi,Ibaraki,0
Yamaguchi,Haneda,5.4408
Yamaguchi,Narita,3.4684
Yamaguchi,Komatsu,0
Yamaguchi,Toyama,0
